Postal Code,Municipality name (German),Municipality name (Dutch),Municipality name (French)
7387,,,Honnelles
1348,,,Ottignies-Louvain-la-Neuve
1470,,,Genappe
2660,,Antwerpen,
3511,,Hasselt,
8793,,Waregem,
4032,,,Liège
7536,,,Tournai
7141,,,Morlanwelz
7191,,,Écaussinnes
9300,,Aalst,
4671,,,Blegny
5170,,,Profondeville
6698,,,Vielsalm
6836,,,Bouillon
6921,,,Wellin
1670,,Pepingen,
3460,,Bekkevoort,
1082,,Sint-Agatha-Berchem,Berchem-Sainte-Agathe
9970,,Kaprijke,
4721,Kelmis,,La Calamine
4350,,,Remicourt
7511,,,Tournai
9660,,Brakel,
6180,,,Courcelles
7060,,,Soignies
3890,,Gingelom,
6929,,,Daverdisse
1357,,,Hélécine
1367,,,Ramillies
1428,,,Braine-l'Alleud
2970,,Schilde,
5620,,,Florennes
4530,,,Villers-le-Bouillet
7890,,,Ellezelles
6238,,,Pont-à-Celles
5330,,,Assesse
3384,,Glabbeek,
2340,,Beerse,
2440,,Geel,
3190,,Boortmeerbeek,
9800,,Deinze,
4360,,,Oreye
6280,,,Gerpinnes
5330,,,Assesse
4683,,,Oupeye
4654,,,Herve
2050,,Antwerpen,
4122,,,Neupré
7542,,,Tournai
6111,,,Montigny-le-Tilleul
7520,,,Tournai
2480,,Dessel,
5310,,,Éghezée
3792,,Voeren,Fourons
8620,,Nieuwpoort,
6767,,,Rouvroy
